Consumer ID,Segment,Annual BNPL Transactions,Total Borrowed CAD,Total Paid CAD,Total Late Fees CAD,Missed Payment Count,Peak Simultaneous Plans,Est Monthly BNPL Commitment CAD,Awareness of Total Commitment %,Preferred Platform,Top Category
BNPL5001,Regular User,9,782.14,790.14,8.0,1,2,86.92,76.0,PayBright,Footwear
BNPL5002,Occasional User,3,288.23,288.23,0.0,0,1,48.04,67.0,Klarna,Beauty and Skincare
BNPL5003,Occasional User,1,296.38,296.38,0.0,0,1,148.18,85.0,PayBright,Sporting Goods
BNPL5004,Occasional User,2,320.64,320.64,0.0,0,1,80.16,65.0,Klarna,Beauty and Skincare
BNPL5005,Occasional User,1,72.19,72.19,0.0,0,1,36.1,77.0,Afterpay,Home and Furniture
BNPL5006,High Exposure User,18,2046.94,2118.94,72.0,9,6,341.16,53.0,Klarna,Footwear
BNPL5007,High Exposure User,14,2194.85,2282.85,88.0,11,6,470.28,28.0,Afterpay,Home and Furniture
BNPL5008,Occasional User,4,578.75,578.75,0.0,0,1,72.34,79.0,PayBright,Electronics and Tech
BNPL5009,Occasional User,2,117.55,117.55,0.0,0,1,29.38,88.0,Afterpay,Sporting Goods
BNPL5010,Occasional User,2,668.71,668.71,0.0,0,1,167.18,92.0,Afterpay,Home and Furniture
BNPL5011,Regular User,6,1168.51,1168.51,0.0,0,2,194.76,45.0,Afterpay,Home and Furniture
BNPL5012,Regular User,10,2004.64,2012.64,8.0,1,2,200.48,68.0,Afterpay,Beauty and Skincare
BNPL5013,Occasional User,1,430.55,430.55,0.0,0,1,215.28,87.0,Afterpay,Sporting Goods
BNPL5014,High Exposure User,15,2728.4,2792.4,64.0,8,5,454.7,40.0,Afterpay,Sporting Goods
BNPL5015,Regular User,8,1145.83,1153.83,8.0,1,3,214.86,68.0,Afterpay,Electronics and Tech
BNPL5016,High Exposure User,21,3520.18,3600.18,80.0,10,6,502.92,23.0,Klarna,Electronics and Tech
BNPL5017,Regular User,7,1218.58,1218.58,0.0,0,2,174.08,69.0,Klarna,Home and Furniture
BNPL5018,High Exposure User,9,1161.33,1241.33,80.0,10,6,387.12,32.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5019,Regular User,5,903.6,903.6,0.0,0,3,271.08,71.0,Afterpay,Sporting Goods
BNPL5020,Regular User,5,1011.86,1027.86,16.0,2,3,303.54,60.0,Sezzle,Electronics and Tech
BNPL5021,Regular User,6,1264.61,1280.61,16.0,2,2,210.76,69.0,Klarna,Home and Furniture
BNPL5022,Occasional User,2,145.34,145.34,0.0,0,1,36.34,95.0,PayBright,Footwear
BNPL5023,Regular User,7,418.11,418.11,0.0,0,2,59.72,88.0,Klarna,Sporting Goods
BNPL5024,High Exposure User,16,2087.35,2143.35,56.0,7,6,391.32,10.0,Sezzle,Sporting Goods
BNPL5025,Regular User,4,583.44,599.44,16.0,2,2,145.88,74.0,Sezzle,Home and Furniture
BNPL5026,Regular User,7,641.44,641.44,0.0,0,2,91.64,73.0,Klarna,Footwear
BNPL5027,High Exposure User,18,3455.38,3479.38,24.0,3,6,575.88,17.0,Afterpay,Electronics and Tech
BNPL5028,Regular User,7,1038.64,1038.64,0.0,0,3,222.54,64.0,PayBright,Electronics and Tech
BNPL5029,Occasional User,2,138.74,138.74,0.0,0,1,34.68,100.0,Afterpay,Sporting Goods
BNPL5030,Occasional User,2,214.46,214.46,0.0,0,1,53.62,72.0,Klarna,Electronics and Tech
BNPL5031,Occasional User,2,284.69,284.69,0.0,0,1,71.18,86.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5032,Regular User,8,1428.93,1428.93,0.0,0,2,178.6,87.0,PayBright,Footwear
BNPL5033,Occasional User,1,259.13,259.13,0.0,0,1,129.56,90.0,PayBright,Footwear
BNPL5034,Regular User,6,876.58,876.58,0.0,0,2,146.08,60.0,Klarna,Sporting Goods
BNPL5035,High Exposure User,12,1636.87,1684.87,48.0,6,5,341.0,31.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5036,High Exposure User,16,1854.18,1918.18,64.0,8,6,347.64,24.0,Afterpay,Electronics and Tech
BNPL5037,Occasional User,1,120.66,120.66,0.0,0,1,60.32,100.0,Paidy,Sporting Goods
BNPL5038,High Exposure User,12,1378.22,1434.22,56.0,7,6,344.52,40.0,Sezzle,Electronics and Tech
BNPL5039,Occasional User,1,359.48,359.48,0.0,0,1,179.74,82.0,Afterpay,Home and Furniture
BNPL5040,Regular User,6,651.11,651.11,0.0,0,3,162.78,61.0,Sezzle,Footwear
BNPL5041,Occasional User,2,251.22,251.22,0.0,0,1,62.8,97.0,Paidy,Sporting Goods
BNPL5042,Regular User,7,548.88,548.88,0.0,0,2,78.4,69.0,Afterpay,Sporting Goods
BNPL5043,Regular User,4,654.53,654.53,0.0,0,2,163.64,87.0,Klarna,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5044,Regular User,10,1946.61,1962.61,16.0,2,2,194.68,59.0,PayBright,Footwear
BNPL5045,High Exposure User,15,1955.3,1995.3,40.0,5,6,391.08,10.0,Sezzle,Footwear
BNPL5046,Regular User,10,1153.95,1161.95,8.0,1,3,173.1,51.0,Klarna,Beauty and Skincare
BNPL5047,High Exposure User,19,2459.31,2539.31,80.0,10,4,258.88,25.0,Afterpay,Beauty and Skincare
BNPL5048,Regular User,7,1078.44,1078.44,0.0,0,2,154.08,54.0,Klarna,Electronics and Tech
BNPL5049,Regular User,8,1013.7,1037.7,24.0,3,2,126.72,76.0,Klarna,Sporting Goods
BNPL5050,High Exposure User,9,1638.38,1670.38,32.0,4,5,455.1,41.0,Klarna,Home and Furniture
BNPL5051,High Exposure User,6,786.12,834.12,48.0,6,5,327.5,27.0,Klarna,Electronics and Tech
BNPL5052,Regular User,6,922.78,938.78,16.0,2,2,153.8,67.0,Paidy,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5053,Regular User,8,1285.9,1285.9,0.0,0,2,160.72,59.0,Klarna,Sporting Goods
BNPL5054,High Exposure User,14,2007.62,2007.62,0.0,0,6,430.2,21.0,Klarna,Home and Furniture
BNPL5055,Occasional User,1,408.8,408.8,0.0,0,1,204.4,88.0,Klarna,Electronics and Tech
BNPL5056,Regular User,8,1555.74,1555.74,0.0,0,3,291.72,52.0,Sezzle,Sporting Goods
BNPL5057,Regular User,5,720.32,720.32,0.0,0,2,144.08,83.0,PayBright,Beauty and Skincare
BNPL5058,Occasional User,1,245.16,245.16,0.0,0,1,122.58,95.0,Paidy,Sporting Goods
BNPL5059,Occasional User,2,224.11,224.11,0.0,0,1,56.02,100.0,Klarna,Beauty and Skincare
BNPL5060,Occasional User,1,164.45,164.45,0.0,0,1,82.22,89.0,Afterpay,Sporting Goods
BNPL5061,High Exposure User,16,3264.07,3296.07,32.0,4,6,612.0,37.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5062,High Exposure User,14,2657.34,2697.34,40.0,5,5,474.5,41.0,Afterpay,Sporting Goods
BNPL5063,High Exposure User,15,2022.45,2094.45,72.0,9,4,269.68,31.0,Afterpay,"Fast Fashion (Shein, Temu, ASOS)"
BNPL5064,Occasional User,1,65.08,65.08,0.0,0,1,32.54,75.0,Afterpay,Footwear
BNPL5065,Occasional User,1,81.95,81.95,0.0,0,1,40.98,64.0,Sezzle,Home and Furniture
BNPL5066,Occasional User,1,84.99,84.99,0.0,0,1,42.5,90.0,Klarna,Footwear
BNPL5067,Occasional User,1,77.65,77.65,0.0,0,1,38.82,100.0,Afterpay,Home and Furniture
