Transaction ID,Consumer ID,Segment,Transaction Date,Month,Platform,Category,Purchase Amount CAD,Number of Installments,Installment Amount CAD,Completion Date,Missed Payment,Missed Payment Count,Late Fee CAD,Total Cost CAD
TXN9001,BNPL5001,Regular User,2024-04-26,2024-04,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",49.55,4,12.39,2024-06-21,No,0,0,49.55
TXN9002,BNPL5001,Regular User,2024-05-11,2024-05,Paidy,"Fast Fashion (Shein, Temu, ASOS)",48.64,3,16.21,2024-06-22,No,0,0,48.64
TXN9003,BNPL5001,Regular User,2024-11-28,2024-11,PayBright,"Fast Fashion (Shein, Temu, ASOS)",78.45,4,19.61,2025-01-23,Yes,1,8.0,86.45
TXN9004,BNPL5001,Regular User,2024-06-12,2024-06,Afterpay,Footwear,86.15,4,21.54,2024-08-07,No,0,0,86.15
TXN9005,BNPL5001,Regular User,2024-08-13,2024-08,Afterpay,Footwear,137.18,6,22.86,2024-11-05,No,0,0,137.18
TXN9006,BNPL5001,Regular User,2024-10-07,2024-10,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",69.43,4,17.36,2024-12-02,No,0,0,69.43
TXN9007,BNPL5001,Regular User,2024-03-21,2024-03,Afterpay,Beauty and Skincare,95.02,4,23.75,2024-05-16,No,0,0,95.02
TXN9008,BNPL5001,Regular User,2024-06-01,2024-06,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",32.25,4,8.06,2024-07-27,No,0,0,32.25
TXN9009,BNPL5001,Regular User,2024-10-28,2024-10,Afterpay,Footwear,185.47,4,46.37,2024-12-23,No,0,0,185.47
TXN9010,BNPL5002,Occasional User,2024-06-30,2024-06,PayBright,"Fast Fashion (Shein, Temu, ASOS)",63.19,4,15.8,2024-08-25,No,0,0,63.19
TXN9011,BNPL5002,Occasional User,2024-11-23,2024-11,Sezzle,"Fast Fashion (Shein, Temu, ASOS)",52.03,4,13.01,2025-01-18,No,0,0,52.03
TXN9012,BNPL5002,Occasional User,2024-02-04,2024-02,Klarna,Sporting Goods,173.01,6,28.83,2024-04-28,No,0,0,173.01
TXN9013,BNPL5003,Occasional User,2024-05-23,2024-05,Klarna,Electronics and Tech,296.38,3,98.79,2024-07-04,No,0,0,296.38
TXN9014,BNPL5004,Occasional User,2024-04-28,2024-04,Klarna,"Fast Fashion (Shein, Temu, ASOS)",69.68,3,23.23,2024-06-09,No,0,0,69.68
TXN9015,BNPL5004,Occasional User,2024-06-11,2024-06,Sezzle,Sporting Goods,250.96,6,41.83,2024-09-03,No,0,0,250.96
TXN9016,BNPL5005,Occasional User,2024-06-19,2024-06,PayBright,"Fast Fashion (Shein, Temu, ASOS)",72.19,4,18.05,2024-08-14,No,0,0,72.19
TXN9017,BNPL5006,High Exposure User,2024-11-17,2024-11,Klarna,Footwear,145.05,4,36.26,2025-01-12,No,0,0,145.05
TXN9018,BNPL5006,High Exposure User,2024-04-30,2024-04,Klarna,Footwear,108.5,4,27.12,2024-06-25,Yes,2,16.0,124.5
TXN9019,BNPL5006,High Exposure User,2024-04-16,2024-04,Sezzle,Home and Furniture,171.3,4,42.83,2024-06-11,Yes,2,16.0,187.3
TXN9020,BNPL5006,High Exposure User,2024-08-21,2024-08,Klarna,"Fast Fashion (Shein, Temu, ASOS)",56.6,4,14.15,2024-10-16,No,0,0,56.6
TXN9021,BNPL5006,High Exposure User,2024-04-03,2024-04,Paidy,Home and Furniture,332.33,4,83.08,2024-05-29,No,0,0,332.33
TXN9022,BNPL5006,High Exposure User,2024-07-16,2024-07,Afterpay,Sporting Goods,170.48,4,42.62,2024-09-10,No,0,0,170.48
TXN9023,BNPL5006,High Exposure User,2024-06-15,2024-06,Klarna,Sporting Goods,173.05,4,43.26,2024-08-10,No,0,0,173.05
TXN9024,BNPL5006,High Exposure User,2024-02-12,2024-02,Sezzle,Beauty and Skincare,57.12,4,14.28,2024-04-08,No,0,0,57.12
TXN9025,BNPL5006,High Exposure User,2024-05-24,2024-05,Sezzle,Footwear,151.19,4,37.8,2024-07-19,No,0,0,151.19
TXN9026,BNPL5006,High Exposure User,2024-01-08,2024-01,Afterpay,Footwear,115.99,4,29.0,2024-03-04,No,0,0,115.99
TXN9027,BNPL5006,High Exposure User,2024-12-13,2024-12,Klarna,Beauty and Skincare,48.58,3,16.19,2025-01-24,No,0,0,48.58
TXN9028,BNPL5006,High Exposure User,2024-02-19,2024-02,Klarna,"Fast Fashion (Shein, Temu, ASOS)",35.32,6,5.89,2024-05-13,No,0,0,35.32
TXN9029,BNPL5006,High Exposure User,2024-05-27,2024-05,Afterpay,"Fast Fashion (Shein, Temu, ASOS)",63.89,3,21.3,2024-07-08,Yes,2,16.0,79.89
